คำศัพท์,ความหมาย,ตัวอย่างประโยค
architecture (n),สถาปัตยกรรม,There are examples of most styles of architecture in the town.
abandon (v),ละทิ้ง,People often simply abandon their pets when they go abroad.
accommodation (n),ที่พัก,We may have to provide alternative accommodation for you.
accommodate (v),จัดที่อยู่ให้,The hotel can accommodate up to 500 guests.
addictive (adj),เสพติด,The game is very addictive.
abide by (phrv),ยอมปฏิบัติตาม,You’ll have to abide by the rules of the club.
automobile (n),รถยนต์,Learning to drive an automobile is not easy.
architect (n),"ผู้สร้าง, สถาปนิก",She’s a London-based architect and interior designer.
abolish (v),"ล้มเลิก, ทำลาย",She campaigned to abolish the death penalty altogether.
acceleration (n),"การเร่ง, การเพิ่มความเร็ว",There has been a rapid acceleration in the growth of industry.
accelerate (v),"เร่ง, เร่งให้เกิดขึ้น",The pace of change has begun to accelerate.
appoint (v),"แต่งตั้ง, กำหนดวัน",They have appointed a new head teacher at my son’s school.
appeal (n),"ร้องขอ, ขออุทรณ์",Police appealed to the public for information about the crime.
accountant (n),นักบัญชี,We talked to the company’s chief accountant.
amend (v),แก้ไข,Parliament will vote to amend the constitution.
apprise (v),แจ้งข่าว,He saw no reason to apprise the committee of what had happened.
appealing (adj),"ซึ่งดึงดูดใจ, มีเสน่ห์",The large salary made their offer even more appealing to him.
assume (v),"สันนิษฐานเอาเอง, แสร้ง",It’s all too easy to assume that people know what they are doing.
adventure (n),การผจญภัย,Our trip to London was quite an adventure for the children.
anticipate (v),คาดการณ์,They anticipate their needs for the next quarter.
access (n),ทางเข้า,The police gained access through a broken window.
analogy (n),การเปรียบเทียบ,The teacher drew an analogy between the human heart and a pump.
anarchy (n),อนาธิปไตย,There was complete anarchy in the classroom when their usual teacher was away.
antagonism (n),การต่อต้าน,The new rules will create a lot of antagonism.
arrogance (n),ความเย่อหยิ่ง,He has a reputation for rudeness and intellectual arrogance.
agitate (v),"ปั่นป่วน, ปลุกระดม",This remark seemed to agitate her guest.
acid rain (n),ฝนกรด,"Sulphur, falling as acid rain, is killing fish in the Great Lakes."
aggregate (v),รวบรวม,The scores were aggregated with the first round totals to decide the winner.
ancient (adj),โบราณกาล,Archaeologists are excavating the ruined temples of this ancient civilization.
